,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
223,223,2,2,"First time here. 
Food tasted pretty good. The cheese bread was mediocre, but bowl was better. The front end lady wasn't too helpful, even when I mentioned...",3,2020-12-30 06:55:56,Kaiton Q.,Bad
224,224,0,0,Nice spot to watch the Sunday ticket! Cold beer decent food and fast service. My server was attentive. Minus two stars for the fact he farted on my friend...,3,2021-09-21 11:18:11,Travis B.,Bad
225,225,1,1,"This past Saturday,  myself, my wife and our handicapped son decided to grab a bite to eat at The Press Box.  I wish would we had never thought about going...",1,2021-08-29 22:44:32,Joe L.,Bad
226,226,2,2,I have been a faithful customer for 30 years. I went in tonight to enjoy pizza and beer and watch the Yankees. They kept changing the channel away from the...,1,2021-09-09 17:45:34,Sue F.,Bad
227,227,0,0,"Ah the comfort of the locally owned, independent Irish Pub.  Pressed for time at lunch, I chose familiarity of concept. The beet goat cheese salad I chose...",4,2021-10-01 05:16:18,Jay B.,Good
228,228,1,1,I love coming to Stone of Accord. It's a great place if you are in the mood for some delicious Irish pub food and drinks. They have lots of great appetizers...,4,2021-03-18 21:03:51,Lisa W.,Good
229,229,2,2,I always enjoy coming here. I do. Sometimes I think people forget about it so it's never packed and you can usually walk right in. They have such a great...,4,2021-02-13 05:18:58,Jennifer T.,Good
230,230,0,0,I used to love this place but my last visit has changed my mind. After ordering over the phone and picking up my food. I got home and noticed my order was...,1,2018-07-22 10:43:47,Hattie H.,Bad
231,231,0,0,"Pad Gar Pow - 4/5
Pineapple Red curry - 4/5
Pad See Ew Chicken - 3/5
Red curry Duck -2/5",4,2021-10-11 07:52:10,Jeff D.,Good
232,232,1,1,"I imagine for Missoula residents who have never had access to quality Thai food, this place is a shiny five star Oasis in the desert.  It's good, its not...",3,2021-08-28 16:30:03,Scott C.,Bad
233,233,2,2,"Not quite the vibe we are anticipating when my brother and I walk in on a Sunday evening. Busy, loud, super trendy place. I'm fairly certain all the...",2,2021-07-17 18:03:27,Jason B.,Bad
234,234,0,0,"Cute little burrito and taco trailer. 

Good food and good friendly people. 

I usually get the pork burrito.",4,2021-11-30 11:54:55,Randy P.,Good
235,235,0,0,"I love everything about this place. The beer! The food, ambiance, staff... I will always visit this brewery.",5,2021-10-31 18:21:49,Ashley H.,Good
236,236,1,1,"Get off the plane and head over here. You need a relaxing beer after your flight and it's so close to the airport. Once you get here, you'd hardly known...",4,2021-06-28 18:59:25,John O.,Good
237,237,2,2,"After a 5 hour drive up from Challis, Idaho I needed a beer and a bite. So here I am at Highlander Beer, brewery #158 for me. 

HB is a really cool place....",5,2021-05-07 16:28:57,Jim H.,Good
238,238,0,0,"Having endured several stormy days on the road, it was a pleasure to be able to fly back to SoCal, even if it was via Minneapolis/St. Paul.
Arrived at the...",4,2018-02-12 09:34:00,Mike L.,Good
239,239,1,1,"This is a mess. Takes forever and tastes terrible. Staff is surly and why shouldn't they be--cannot stay happy when all the customers are unhappy. 
The...",1,2019-06-09 11:55:22,Chou K.,Bad
240,240,2,2,"Gross food and mediocre service. We got wings and they were literally charred and burn to a crisp, and trying to get a side of bbq to help ease the charred...",1,2017-08-13 16:06:34,Jennie J.,Bad
241,241,0,0,Beef tongue pan Perdue smells so good! Thanks Jim Johnson Deli!  It's byob unless you know the owner!,5,2014-12-20 17:29:11,Lady B.,Good
242,242,0,0,"Great market, deli, wine store, cigar shop, personal items, dry goods and beer store!! I can't make that up. Had the club sandwich and it was tremendous....",5,2021-09-21 16:07:01,Mr C.,Good
243,243,1,1,I thought I was back in the 70s  in Pittsburgh  the place probably hasn't changed to bad the grill was closed they had some good sandwiches for sale and a...,4,2020-08-29 10:36:57,Tom B.,Good
244,244,2,2,Very friendly staff - I had the Cuban and my friend tried one of the cold sandwiches... upon ordering I was hoping the $11 sandi wouldn't be a let down....,5,2021-03-21 06:57:55,Will B.,Good
245,245,0,0,"Innovative, delicious, and reasonably priced tacos combined with an impressive selection of microbrewery beers.  Don't be deterred by the small # of indoor...",5,2021-07-12 12:20:12,Stephen M.,Good
246,246,1,1,"Family lunch at Gild-delicious. The service was excellent and we sat outside. Our group had the elote ( a must try) and the corn & bean salad with shrimp,...",5,2021-07-20 11:57:18,Lisa S.,Good
247,247,2,2,"Enjoyed our German beers and tried 4 different tacos. The shrimp tacos were the best! 
A tad pricey on the tacos, but the beers were a bargain.",4,2021-09-07 10:58:37,Barrie H.,Good
248,248,0,0,"The yummiest breakfast sandwich in Missoula! You get to pick and choose what ingredients you want in it and it's made right there, fresh and with love! I...",5,2019-09-16 10:45:56,Olivia G.,Good
249,249,1,1,"Pleasantly surprised. Probably my favorite drive-thru coffee shop in Missoula. Coffee was perfect, food even better. My only complaint is that you have to...",4,2017-03-15 15:00:18,Kody B.,Good
